"","journal","req_journal","periode","req_periode","req_tot"
"11","Veterinary Record"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Veterinary Record"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Veterinary Record"" )"
"12","Journal Of Immunology"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Journal Of Immunology"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Journal Of Immunology"" )"
"13","Veterinary Immunology And Immunopathology"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Veterinary Immunology And Immunopathology"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Veterinary Immunology And Immunopathology"" )"
"14","Journal Of Virological Methods"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Journal Of Virological Methods"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Journal Of Virological Methods"" )"
"15","Journal Of Biological Chemistry"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Journal Of Biological Chemistry"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Journal Of Biological Chemistry"" )"
"16","Emerging Infectious Diseases"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Emerging Infectious Diseases"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Emerging Infectious Diseases"" )"
"17","Vaccine"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Vaccine"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Vaccine"" )"
"18","Journal Of Virological Method"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Journal Of Virological Method"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Journal Of Virological Method"" )"
"19","Journal Of Clinical Microbiology"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Journal Of Clinical Microbiology"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Journal Of Clinical Microbiology"" )"
"20","Lancet"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Lancet"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Lancet"" )"
"21","Proceedings Of The National Academy Of Sciences Of The United States Of America"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Proceedings Of The National Academy Of Sciences Of The United States Of America"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Proceedings Of The National Academy Of Sciences Of The United States Of America"" )"
